EVENT,ENCODING
Part-Start_I,433.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_127.50,293.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_127.50,293.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Rep-End_1,445.0
Part-End_I,438.0
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Chord-Tone_D#,325.0
Chord-Type_7,368.0
Chord-Slash_D#,337.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_122.50,291.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_14,142.0
Note-On_58,58.0
Note-Duration_4/64,163.0
Position_40/64,233.0
Note-Velocity_22,150.0
Note-On_60,60.0
Note-Duration_9/64,168.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_50/64,243.0
Note-Velocity_23,151.0
Note-On_63,63.0
Note-Duration_7/64,166.0
Position_57/64,250.0
Note-Velocity_22,150.0
Note-On_65,65.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Chord-Tone_G#,330.0
Chord-Type_7,368.0
Chord-Slash_G#,342.0
Note-Velocity_23,151.0
Note-On_67,67.0
Note-Duration_7/64,166.0
Position_7/64,200.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Position_35/64,228.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Distance_1,418.0
Note-Velocity_23,151.0
Note-On_60,60.0
Note-Duration_11/64,170.0
Position_46/64,239.0
Note-Velocity_22,150.0
Note-On_60,60.0
Note-Duration_19/64,178.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Chord-Tone_D#,325.0
Chord-Type_7,368.0
Chord-Slash_D#,337.0
Position_4/64,197.0
Note-Velocity_17,145.0
Note-On_58,58.0
Note-Duration_16/64,175.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_122.50,291.0
Position_21/64,214.0
Note-Velocity_20,148.0
Note-On_60,60.0
Note-Duration_10/64,169.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Position_37/64,230.0
Note-Velocity_23,151.0
Note-On_63,63.0
Note-Duration_8/64,167.0
Position_45/64,238.0
Note-Velocity_23,151.0
Note-On_65,65.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Position_53/64,246.0
Note-Velocity_22,150.0
Note-On_67,67.0
Note-Duration_11/64,170.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_127.50,293.0
Chord-Tone_D#,325.0
Chord-Type_7,368.0
Chord-Slash_D#,337.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Position_56/64,249.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_23,151.0
Note-On_69,69.0
Note-Duration_5/64,164.0
Position_61/64,254.0
Note-Velocity_21,149.0
Note-On_67,67.0
Note-Duration_3/64,162.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Chord-Tone_G#,330.0
